State,District,Year,Quarter,RegisteredUser,Appopens,S.no
andaman-&-nicobar-islands,"north and middle andaman district",2018,1,632,0,1
andaman-&-nicobar-islands,"south andaman district",2018,1,5846,0,2
andaman-&-nicobar-islands,"nicobars district",2018,1,262,0,3
andaman-&-nicobar-islands,"north and middle andaman district",2018,2,911,0,4
andaman-&-nicobar-islands,"south andaman district",2018,2,8143,0,5
andaman-&-nicobar-islands,"nicobars district",2018,2,351,0,6
andaman-&-nicobar-islands,"north and middle andaman district",2018,3,1208,0,7
andaman-&-nicobar-islands,"south andaman district",2018,3,10474,0,8
andaman-&-nicobar-islands,"nicobars district",2018,3,467,0,9
andaman-&-nicobar-islands,"north and middle andaman district",2018,4,1553,0,10
andaman-&-nicobar-islands,"south andaman district",2018,4,13133,0,11
andaman-&-nicobar-islands,"nicobars district",2018,4,536,0,12
andaman-&-nicobar-islands,"north and middle andaman district",2019,1,2013,0,13
andaman-&-nicobar-islands,"south andaman district",2019,1,15961,0,14
andaman-&-nicobar-islands,"nicobars district",2019,1,622,0,15
andaman-&-nicobar-islands,"north and middle andaman district",2019,2,2417,6118,16
andaman-&-nicobar-islands,"south andaman district",2019,2,18621,43569,17
andaman-&-nicobar-islands,"nicobars district",2019,2,693,2953,18
andaman-&-nicobar-islands,"north and middle andaman district",2019,3,2662,22064,19
andaman-&-nicobar-islands,"south andaman district",2019,3,20518,138190,20
andaman-&-nicobar-islands,"nicobars district",2019,3,751,10853,21
andaman-&-nicobar-islands,"north and middle andaman district",2019,4,2955,26253,22
andaman-&-nicobar-islands,"south andaman district",2019,4,22202,139646,23
andaman-&-nicobar-islands,"nicobars district",2019,4,803,11113,24
andaman-&-nicobar-islands,"north and middle andaman district",2020,1,3315,30444,25
andaman-&-nicobar-islands,"south andaman district",2020,1,24174,151529,26
andaman-&-nicobar-islands,"nicobars district",2020,1,879,11613,27
andaman-&-nicobar-islands,"north and middle andaman district",2020,2,4100,56992,28
andaman-&-nicobar-islands,"south andaman district",2020,2,27626,231071,29
andaman-&-nicobar-islands,"nicobars district",2020,2,984,17009,30
andaman-&-nicobar-islands,"north and middle andaman district",2020,3,5355,76553,31
andaman-&-nicobar-islands,"south andaman district",2020,3,34833,417785,32
andaman-&-nicobar-islands,"nicobars district",2020,3,1147,21227,33
andaman-&-nicobar-islands,"north and middle andaman district",2020,4,7076,125915,34
andaman-&-nicobar-islands,"south andaman district",2020,4,43908,725321,35
andaman-&-nicobar-islands,"nicobars district",2020,4,1412,35972,36
andaman-&-nicobar-islands,"north and middle andaman district",2021,1,7833,121680,37
andaman-&-nicobar-islands,"south andaman district",2021,1,48352,837589,38
andaman-&-nicobar-islands,"nicobars district",2021,1,1573,45067,39
andaman-&-nicobar-islands,"north and middle andaman district",2021,2,8493,596182,40
andaman-&-nicobar-islands,"south andaman district",2021,2,51903,1270226,41
andaman-&-nicobar-islands,"nicobars district",2021,2,1699,381815,42
andaman-&-nicobar-islands,"north and middle andaman district",2021,3,9263,759314,43
andaman-&-nicobar-islands,"south andaman district",2021,3,55873,1771107,44
andaman-&-nicobar-islands,"nicobars district",2021,3,1846,591204,45
andaman-&-nicobar-islands,"north and middle andaman district",2021,4,10002,171921,46
andaman-&-nicobar-islands,"south andaman district",2021,4,59807,1863037,47
andaman-&-nicobar-islands,"nicobars district",2021,4,1971,77952,48
andaman-&-nicobar-islands,"north and middle andaman district",2022,1,10720,904869,49
andaman-&-nicobar-islands,"south andaman district",2022,1,63487,2368756,50
andaman-&-nicobar-islands,"nicobars district",2022,1,2081,573782,51
andaman-&-nicobar-islands,"north and middle andaman district",2022,2,11379,963824,52
andaman-&-nicobar-islands,"south andaman district",2022,2,66959,3404740,53
andaman-&-nicobar-islands,"nicobars district",2022,2,2192,811449,54
andaman-&-nicobar-islands,"north and middle andaman district",2022,3,11897,1176567,55
andaman-&-nicobar-islands,"south andaman district",2022,3,70445,3607286,56
andaman-&-nicobar-islands,"nicobars district",2022,3,2300,1284501,57
andaman-&-nicobar-islands,"north and middle andaman district",2022,4,12361,313502,58
andaman-&-nicobar-islands,"south andaman district",2022,4,73692,3881359,59
andaman-&-nicobar-islands,"nicobars district",2022,4,2389,159232,60
andhra-pradesh,"east godavari district",2018,1,350356,0,61
andhra-pradesh,"srikakulam district",2018,1,143839,0,62
andhra-pradesh,"visakhapatnam district",2018,1,497187,0,63
andhra-pradesh,"prakasam district",2018,1,189949,0,64
andhra-pradesh,"anantapur district",2018,1,241192,0,65
andhra-pradesh,"kurnool district",2018,1,240133,0,66
andhra-pradesh,"guntur district",2018,1,317065,0,67
andhra-pradesh,"krishna district",2018,1,323673,0,68
andhra-pradesh,"spsr nellore district",2018,1,194475,0,69
andhra-pradesh,"vizianagaram district",2018,1,128905,0,70
andhra-pradesh,"ysr district",2018,1,186800,0,71
andhra-pradesh,"west godavari district",2018,1,213335,0,72
andhra-pradesh,"chittoor district",2018,1,309541,0,73
andhra-pradesh,"east godavari district",2018,2,454398,0,74
andhra-pradesh,"srikakulam district",2018,2,186913,0,75
andhra-pradesh,"visakhapatnam district",2018,2,636052,0,76
andhra-pradesh,"prakasam district",2018,2,253458,0,77
andhra-pradesh,"anantapur district",2018,2,326383,0,78
andhra-pradesh,"kurnool district",2018,2,319313,0,79
andhra-pradesh,"guntur district",2018,2,420326,0,80
andhra-pradesh,"krishna district",2018,2,431965,0,81
andhra-pradesh,"spsr nellore district",2018,2,261049,0,82
andhra-pradesh,"vizianagaram district",2018,2,167327,0,83
andhra-pradesh,"ysr district",2018,2,248657,0,84
andhra-pradesh,"west godavari district",2018,2,282393,0,85
andhra-pradesh,"chittoor district",2018,2,414306,0,86
andhra-pradesh,"east godavari district",2018,3,558982,0,87
andhra-pradesh,"srikakulam district",2018,3,228456,0,88
andhra-pradesh,"visakhapatnam district",2018,3,769096,0,89
andhra-pradesh,"prakasam district",2018,3,314899,0,90
andhra-pradesh,"anantapur district",2018,3,405855,0,91
andhra-pradesh,"kurnool district",2018,3,394311,0,92
andhra-pradesh,"guntur district",2018,3,518931,0,93
andhra-pradesh,"krishna district",2018,3,537086,0,94
andhra-pradesh,"spsr nellore district",2018,3,322446,0,95
andhra-pradesh,"vizianagaram district",2018,3,203655,0,96
andhra-pradesh,"ysr district",2018,3,308391,0,97
andhra-pradesh,"west godavari district",2018,3,349782,0,98
andhra-pradesh,"chittoor district",2018,3,515727,0,99
andhra-pradesh,"east godavari district",2018,4,694455,0,100
andhra-pradesh,"srikakulam district",2018,4,284874,0,101
andhra-pradesh,"visakhapatnam district",2018,4,978288,0,102
andhra-pradesh,"prakasam district",2018,4,394962,0,103
andhra-pradesh,"anantapur district",2018,4,510892,0,104
andhra-pradesh,"kurnool district",2018,4,498582,0,105
andhra-pradesh,"guntur district",2018,4,659552,0,106
andhra-pradesh,"krishna district",2018,4,682479,0,107
andhra-pradesh,"spsr nellore district",2018,4,407495,0,108
andhra-pradesh,"vizianagaram district",2018,4,257824,0,109
andhra-pradesh,"ysr district",2018,4,387058,0,110
andhra-pradesh,"west godavari district",2018,4,435668,0,111
andhra-pradesh,"chittoor district",2018,4,665280,0,112
andhra-pradesh,"east godavari district",2019,1,839277,0,113
andhra-pradesh,"srikakulam district",2019,1,345775,0,114
andhra-pradesh,"visakhapatnam district",2019,1,1174517,0,115
andhra-pradesh,"prakasam district",2019,1,474260,0,116
andhra-pradesh,"anantapur district",2019,1,612162,0,117
andhra-pradesh,"kurnool district",2019,1,599422,0,118
andhra-pradesh,"guntur district",2019,1,802394,0,119
andhra-pradesh,"krishna district",2019,1,833694,0,120
andhra-pradesh,"spsr nellore district",2019,1,491908,0,121
andhra-pradesh,"vizianagaram district",2019,1,313334,0,122
andhra-pradesh,"ysr district",2019,1,460590,0,123
andhra-pradesh,"west godavari district",2019,1,523372,0,124
andhra-pradesh,"chittoor district",2019,1,812314,0,125
andhra-pradesh,"east godavari district",2019,2,945181,7156762,126
andhra-pradesh,"srikakulam district",2019,2,392764,3230330,127
andhra-pradesh,"visakhapatnam district",2019,2,1318740,13681907,128
andhra-pradesh,"prakasam district",2019,2,539462,4488365,129
andhra-pradesh,"anantapur district",2019,2,695114,6056591,130
andhra-pradesh,"kurnool district",2019,2,680118,6240480,131
andhra-pradesh,"guntur district",2019,2,915256,7268875,132
andhra-pradesh,"krishna district",2019,2,952300,7822632,133
andhra-pradesh,"spsr nellore district",2019,2,558303,4774473,134
andhra-pradesh,"vizianagaram district",2019,2,355058,3541678,135
andhra-pradesh,"ysr district",2019,2,519031,4345848,136
andhra-pradesh,"west godavari district",2019,2,592185,3853094,137
andhra-pradesh,"chittoor district",2019,2,925491,8914216,138
andhra-pradesh,"east godavari district",2019,3,1057167,28275322,139
andhra-pradesh,"srikakulam district",2019,3,437939,11813195,140
andhra-pradesh,"visakhapatnam district",2019,3,1460464,54836001,141
andhra-pradesh,"prakasam district",2019,3,598568,16267041,142
andhra-pradesh,"anantapur district",2019,3,773656,22845084,143
andhra-pradesh,"kurnool district",2019,3,755024,22827473,144
andhra-pradesh,"guntur district",2019,3,1026418,28477132,145
andhra-pradesh,"krishna district",2019,3,1066546,30077671,146
andhra-pradesh,"spsr nellore district",2019,3,619592,17768733,147
andhra-pradesh,"vizianagaram district",2019,3,394375,13065845,148
andhra-pradesh,"ysr district",2019,3,574109,15833900,149
andhra-pradesh,"west godavari district",2019,3,662102,14227407,150
andhra-pradesh,"chittoor district",2019,3,1032733,34638738,151
andhra-pradesh,"east godavari district",2019,4,1195228,38299189,152
andhra-pradesh,"srikakulam district",2019,4,496266,16353822,153
andhra-pradesh,"visakhapatnam district",2019,4,1620235,70749983,154
andhra-pradesh,"prakasam district",2019,4,673522,21639748,155
andhra-pradesh,"anantapur district",2019,4,873033,30278539,156
andhra-pradesh,"kurnool district",2019,4,846885,29676997,157
andhra-pradesh,"guntur district",2019,4,1158708,37846179,158
andhra-pradesh,"krishna district",2019,4,1199971,39407473,159
andhra-pradesh,"spsr nellore district",2019,4,697154,23608360,160
andhra-pradesh,"vizianagaram district",2019,4,443810,17515311,161
andhra-pradesh,"ysr district",2019,4,646642,21543798,162
andhra-pradesh,"west godavari district",2019,4,750078,19393528,163
andhra-pradesh,"chittoor district",2019,4,1156351,44888591,164
andhra-pradesh,"east godavari district",2020,1,1329664,46142746,165
andhra-pradesh,"srikakulam district",2020,1,552007,20975989,166
andhra-pradesh,"visakhapatnam district",2020,1,1763581,77558624,167
andhra-pradesh,"prakasam district",2020,1,748655,26870693,168
andhra-pradesh,"anantapur district",2020,1,971850,36900103,169
andhra-pradesh,"kurnool district",2020,1,936293,34198350,170
andhra-pradesh,"guntur district",2020,1,1289678,45282758,171
andhra-pradesh,"krishna district",2020,1,1331602,46079408,172
andhra-pradesh,"spsr nellore district",2020,1,775440,28879364,173
andhra-pradesh,"vizianagaram district",2020,1,490683,21562104,174
andhra-pradesh,"ysr district",2020,1,717865,26166193,175
andhra-pradesh,"west godavari district",2020,1,843835,24542868,176
andhra-pradesh,"chittoor district",2020,1,1270907,51354573,177
andhra-pradesh,"east godavari district",2020,2,1459116,45884498,178
andhra-pradesh,"srikakulam district",2020,2,608002,23808009,179
andhra-pradesh,"visakhapatnam district",2020,2,1904719,69684456,180
andhra-pradesh,"prakasam district",2020,2,830709,32255276,181
andhra-pradesh,"anantapur district",2020,2,1076953,39704703,182
andhra-pradesh,"kurnool district",2020,2,1035093,36268390,183
andhra-pradesh,"guntur district",2020,2,1426271,44267596,184
andhra-pradesh,"krishna district",2020,2,1459041,41234166,185
andhra-pradesh,"spsr nellore district",2020,2,854459,30816403,186
andhra-pradesh,"vizianagaram district",2020,2,537798,24370380,187
andhra-pradesh,"ysr district",2020,2,796769,29644037,188
andhra-pradesh,"west godavari district",2020,2,944829,26583613,189
andhra-pradesh,"chittoor district",2020,2,1385916,49820171,190
andhra-pradesh,"east godavari district",2020,3,1601940,64292857,191
andhra-pradesh,"srikakulam district",2020,3,667858,31794753,192
andhra-pradesh,"visakhapatnam district",2020,3,2058346,102589371,193
andhra-pradesh,"prakasam district",2020,3,915240,44970519,194
andhra-pradesh,"anantapur district",2020,3,1186851,55714787,195
andhra-pradesh,"kurnool district",2020,3,1132240,49164718,196
andhra-pradesh,"guntur district",2020,3,1567595,62427501,197
andhra-pradesh,"krishna district",2020,3,1599289,61028114,198
andhra-pradesh,"spsr nellore district",2020,3,937176,43951448,199
andhra-pradesh,"vizianagaram district",2020,3,587784,31199437,200
andhra-pradesh,"ysr district",2020,3,877909,41578067,201
andhra-pradesh,"west godavari district",2020,3,1053674,38126238,202
andhra-pradesh,"chittoor district",2020,3,1506503,69462572,203
andhra-pradesh,"east godavari district",2020,4,1746280,82605352,204
andhra-pradesh,"srikakulam district",2020,4,726761,36770992,205
andhra-pradesh,"visakhapatnam district",2020,4,2209658,124730170,206
andhra-pradesh,"prakasam district",2020,4,999462,52839846,207
andhra-pradesh,"anantapur district",2020,4,1295872,69562398,208
